"","year","group","product_id","product","group_id","import_val","export_val","trade_exchange_val","world_trade_val","rca","color","image"
"84",2014,"Animal Products","010508","Coral and Shells","01",103013.56,120561.16,223574.72,191340466.28,"0.14","#e8d58e","d3plus/icons/hs/hs_01.png"
"86",2014,"Animal Products","010510","Pharmaceutical Animal Products","01",NA,2869838.52,2869838.52,227025771.01,"2.88","#e8d58e","d3plus/icons/hs/hs_01.png"
"87",2014,"Animal Products","010511","Other Inedible Animal Products","01",28588501.12,4715765.07,33304266.19,2596276048.68,"0.41","#e8d58e","d3plus/icons/hs/hs_01.png"
"88",2014,"Arts and Antiques","219701","Paintings","21",1980833.27,2190989.5,4171822.77,13716906106.7,"0.04","#93789e","d3plus/icons/hs/hs_21.png"
"89",2014,"Arts and Antiques","219702","Prints","21",370302.14,8856,379158.14,485318910.03,"0","#93789e","d3plus/icons/hs/hs_21.png"
"90",2014,"Arts and Antiques","219703","Sculptures","21",438038.65,654702,1092740.65,2948146767.79,"0.05","#93789e","d3plus/icons/hs/hs_21.png"
"91",2014,"Arts and Antiques","219704","Revenue Stamps","21",27791,NA,27791,140419246.63,NA,"#93789e","d3plus/icons/hs/hs_21.png"
"92",2014,"Arts and Antiques","219705","Collector's Items","21",707492.73,519812.26,1227304.99,1011805777.29,"0.12","#93789e","d3plus/icons/hs/hs_21.png"
"93",2014,"Arts and Antiques","219706","Antiques","21",464826.39,5052,469878.39,2998526057.15,"0","#93789e","d3plus/icons/hs/hs_21.png"
"94",2014,"Chemical Products","062801","Halogens","06",223003.72,764417969.61,764640973.33,1540759408.18,"113.14","#e377c2","d3plus/icons/hs/hs_06.png"
"95",2014,"Chemical Products","062802","Sulfur","06",6523224.16,851268.01,7374492.17,340170382.26,"0.57","#e377c2","d3plus/icons/hs/hs_06.png"
"96",2014,"Chemical Products","062803","Carbon","06",35825441.96,4823.03,35830264.99,5164587034.44,"0","#e377c2","d3plus/icons/hs/hs_06.png"
"97",2014,"Chemical Products","062804","Hydrogen","06",9275553,2687589.01,11963142.01,13290196107,"0.05","#e377c2","d3plus/icons/hs/hs_06.png"
"98",2014,"Chemical Products","062805","Alkaline Metals","06",42501.7,79421,121922.7,867067993.85,"0.02","#e377c2","d3plus/icons/hs/hs_06.png"
"99",2014,"Chemical Products","062806","Hydrochloric Acid","06",611189.78,595714.92,1206904.7,314570725.64,"0.43","#e377c2","d3plus/icons/hs/hs_06.png"
"100",2014,"Chemical Products","062807","Sulfuric Acid","06",133716618.16,1795056.33,135511674.49,1146883999.32,"0.36","#e377c2","d3plus/icons/hs/hs_06.png"
"101",2014,"Chemical Products","062808","Nitric Acids","06",1034776.42,425004.2,1459780.62,330644245.77,"0.29","#e377c2","d3plus/icons/hs/hs_06.png"
"102",2014,"Chemical Products","062809","Phosphoric Acid","06",12000188.45,82748.16,12082936.61,4056956181.65,"0","#e377c2","d3plus/icons/hs/hs_06.png"
"103",2014,"Chemical Products","062810","Boron","06",334476.14,63538529.98,63873006.12,590535284.87,"24.54","#e377c2","d3plus/icons/hs/hs_06.png"
"104",2014,"Chemical Products","062811","Other Inorganic Acids","06",22471238.57,1694896.73,24166135.3,4724689856.46,"0.08","#e377c2","d3plus/icons/hs/hs_06.png"
"105",2014,"Chemical Products","062812","Halides","06",301692.85,NA,301692.85,665439564.44,NA,"#e377c2","d3plus/icons/hs/hs_06.png"
"106",2014,"Chemical Products","062813","Nonmetal Sulfides","06",4780.41,2575549.29,2580329.7,203795399.57,"2.88","#e377c2","d3plus/icons/hs/hs_06.png"
"107",2014,"Chemical Products","062814","Ammonia","06",190982523.13,368538.1,191351061.23,9279227762.28,"0.01","#e377c2","d3plus/icons/hs/hs_06.png"
"108",2014,"Chemical Products","062815","Sodium or Potassium Peroxides","06",75711165.05,695558.61,76406723.66,4596194015.29,"0.03","#e377c2","d3plus/icons/hs/hs_06.png"
"109",2014,"Chemical Products","062816","Magnesium Hydroxide and Peroxide","06",253346.63,NA,253346.63,224910582.61,NA,"#e377c2","d3plus/icons/hs/hs_06.png"
"110",2014,"Chemical Products","062817","Zinc Oxide and Peroxide","06",5393998.48,18883.04,5412881.52,1266678799.42,"0","#e377c2","d3plus/icons/hs/hs_06.png"
"111",2014,"Chemical Products","062818","Aluminium Oxide","06",7993071.06,NA,7993071.06,14322347492.4,NA,"#e377c2","d3plus/icons/hs/hs_06.png"
"112",2014,"Chemical Products","062819","Chromium Oxides and Hydroxides","06",5172240.95,NA,5172240.95,534364931.36,NA,"#e377c2","d3plus/icons/hs/hs_06.png"
"113",2014,"Chemical Products","062820","Manganese Oxides","06",592061.17,110244.92,702306.09,407380162.11,"0.06","#e377c2","d3plus/icons/hs/hs_06.png"
"114",2014,"Chemical Products","062821","Iron Oxides and Hydroxides","06",4666088.1,35527.53,4701615.63,1146252003.02,"0.01","#e377c2","d3plus/icons/hs/hs_06.png"
"115",2014,"Chemical Products","062822","Cobalt Oxides and Hydroxides","06",69750,NA,69750,733837655.3,NA,"#e377c2","d3plus/icons/hs/hs_06.png"
"116",2014,"Chemical Products","062823","Titanium Oxides","06",2762462.75,324096,3086558.75,987611928.54,"0.07","#e377c2","d3plus/icons/hs/hs_06.png"
"117",2014,"Chemical Products","062824","Lead Oxides","06",1472071.98,282130.35,1754202.33,153805713.53,"0.42","#e377c2","d3plus/icons/hs/hs_06.png"
"118",2014,"Chemical Products","062825","Inorganic Salts","06",7666349.17,177827166.87,185493516.04,3949238751.97,"10.27","#e377c2","d3plus/icons/hs/hs_06.png"
"119",2014,"Chemical Products","062826","Fluorides","06",1085825.32,9868.58,1095693.9,1091587991.86,"0","#e377c2","d3plus/icons/hs/hs_06.png"
"120",2014,"Chemical Products","062827","Chlorides","06",8315532.4,46359630.25,54675162.65,2641881823.54,"4","#e377c2","d3plus/icons/hs/hs_06.png"
"121",2014,"Chemical Products","062828","Hypochlorites","06",1947548.34,151339.49,2098887.83,595904053.57,"0.06","#e377c2","d3plus/icons/hs/hs_06.png"
"122",2014,"Chemical Products","062829","Chlorates and Perchlorates","06",24862007.48,7692855.46,32554862.94,791118461.85,"2.22","#e377c2","d3plus/icons/hs/hs_06.png"
"123",2014,"Chemical Products","062830","Sulfides","06",25498221.99,162599,25660820.99,717441236.89,"0.05","#e377c2","d3plus/icons/hs/hs_06.png"
"124",2014,"Chemical Products","062831","Dithionites and Sulfoxylates","06",693412.87,107577.5,800990.37,301138852.06,"0.08","#e377c2","d3plus/icons/hs/hs_06.png"
"125",2014,"Chemical Products","062832","Sulfites","06",5626920.23,778193.8,6405114.03,403434285.34,"0.44","#e377c2","d3plus/icons/hs/hs_06.png"
"126",2014,"Chemical Products","062833","Sulfates","06",30277325.53,26985101.2,57262426.73,3419135881.88,"1.8","#e377c2","d3plus/icons/hs/hs_06.png"
"127",2014,"Chemical Products","062834","Nitrites and Nitrates","06",3899243.76,361128341.42,365027585.18,1373388724.95,"59.96","#e377c2","d3plus/icons/hs/hs_06.png"
"128",2014,"Chemical Products","062835","Phosphinates and Phosphonates","06",38157477.28,551529.99,38709007.27,3902454859.16,"0.03","#e377c2","d3plus/icons/hs/hs_06.png"
"129",2014,"Chemical Products","062836","Carbonates","06",80811967.67,253807093.18,334619060.85,6241725789.1,"9.27","#e377c2","d3plus/icons/hs/hs_06.png"
"130",2014,"Chemical Products","062837","Cyanides","06",49927947.2,86467.77,50014414.97,1155710786.53,"0.02","#e377c2","d3plus/icons/hs/hs_06.png"
"132",2014,"Chemical Products","062839","Silicates","06",2043532.19,368440.3,2411972.49,889129321.2,"0.09","#e377c2","d3plus/icons/hs/hs_06.png"
"133",2014,"Chemical Products","062840","Borates","06",2433637.05,1543937.68,3977574.73,1007197229.33,"0.35","#e377c2","d3plus/icons/hs/hs_06.png"
"134",2014,"Chemical Products","062841","Oxometallic or Peroxometallic Acid Salts","06",1291676.51,30212735.27,31504411.78,2058038341.61,"3.35","#e377c2","d3plus/icons/hs/hs_06.png"
"135",2014,"Chemical Products","062842","Other Inorganic Acids Salts","06",513594.54,37658.83,551253.37,475851411.32,"0.02","#e377c2","d3plus/icons/hs/hs_06.png"
"136",2014,"Chemical Products","062843","Precious Metal Compounds","06",712100.02,22932,735032.02,6164802604.13,"0","#e377c2","d3plus/icons/hs/hs_06.png"
"137",2014,"Chemical Products","062844","Radioactive Chemicals","06",2164429.23,118971,2283400.23,14989424405.8,"0","#e377c2","d3plus/icons/hs/hs_06.png"
"138",2014,"Chemical Products","062845","Other Isotopes","06",180079.6,NA,180079.6,273663040.62,NA,"#e377c2","d3plus/icons/hs/hs_06.png"
"139",2014,"Chemical Products","062846","Rare-Earth Metal Compounds","06",185811.01,3387,189198.01,1111214340.56,"0","#e377c2","d3plus/icons/hs/hs_06.png"
"140",2014,"Chemical Products","062847","Hydrogen peroxide","06",18519082.48,232770,18751852.48,777220493.57,"0.07","#e377c2","d3plus/icons/hs/hs_06.png"
"141",2014,"Chemical Products","062848","Phosphides","06",443333.18,1905318.76,2348651.94,97263468.73,"4.47","#e377c2","d3plus/icons/hs/hs_06.png"
"142",2014,"Chemical Products","062849","Carbides","06",2324497.15,376080.62,2700577.77,2361952596.81,"0.04","#e377c2","d3plus/icons/hs/hs_06.png"
"143",2014,"Chemical Products","062850","Hydrides and other anions","06",1794421.56,17718,1812139.56,608839956.4,"0.01","#e377c2","d3plus/icons/hs/hs_06.png"
"144",2014,"Chemical Products","062851","Inorganic Compounds","06",3267314.08,20323.49,3287637.57,615071101.94,"0.01","#e377c2","d3plus/icons/hs/hs_06.png"
"145",2014,"Chemical Products","062901","Acyclic Hydrocarbons","06",5332312.3,3333139.18,8665451.48,29215530118.1,"0.03","#e377c2","d3plus/icons/hs/hs_06.png"
"146",2014,"Chemical Products","062902","Cyclic Hydrocarbons","06",52925450.58,16209887.19,69135337.77,59128938824.8,"0.06","#e377c2","d3plus/icons/hs/hs_06.png"
"147",2014,"Chemical Products","062903","Halogenated Hydrocarbons","06",9640948.44,74915.48,9715863.92,9357244328.56,"0","#e377c2","d3plus/icons/hs/hs_06.png"
"148",2014,"Chemical Products","062904","Sulfonated, Nitrated or Nitrosated Hydrocarbons","06",8793018.27,1497166.44,10290184.71,1312260675.95,"0.26","#e377c2","d3plus/icons/hs/hs_06.png"
"149",2014,"Chemical Products","062905","Acyclic Alcohols","06",97059579.48,80104431.61,177164011.09,38392014841.2,"0.48","#e377c2","d3plus/icons/hs/hs_06.png"
"150",2014,"Chemical Products","062906","Cyclic Alcohols","06",4573015.57,59538,4632553.57,1904773564.38,"0.01","#e377c2","d3plus/icons/hs/hs_06.png"
"151",2014,"Chemical Products","062907","Phenols","06",25802368.3,53545.84,25855914.14,7976800147.15,"0","#e377c2","d3plus/icons/hs/hs_06.png"
"152",2014,"Chemical Products","062908","Phenol Derivatives","06",783399.53,NA,783399.53,657906850.14,NA,"#e377c2","d3plus/icons/hs/hs_06.png"
