"","year","origin_id","destination_id","hs92_product_name","hs92_group_name","hs92_product_id","hs92_group_id","hs92_color","export_val","import_val","trade_exchange_val","origin_total_export_val","world_total_export_val","pci","rca","pci_rank","hs92_icon","top_importer","top_exporter"
"1006",2014,"sachl","aschn","Mill Machinery","Machines","8437","16","#17bcef",NA,1821678.68,1821678.68,2240552.75,2462841475.6,0.032,NA,642,"d3plus-1.9.8/icons/hs92/hs92_16.png","India","China"
"1007",2014,"sachl","aschn","Industrial Food Preperation Machinery","Machines","8438","16","#17bcef",NA,8225107.79,8225107.79,7559553.28,13640078282.1,1.033,NA,180,"d3plus-1.9.8/icons/hs92/hs92_16.png","United States","Germany"
"1008",2014,"sachl","aschn","Papermaking Machines","Machines","8439","16","#17bcef",NA,2797346.28,2797346.28,1683564.88,4919186266.37,1.44,NA,74,"d3plus-1.9.8/icons/hs92/hs92_16.png","China","Germany"
"1009",2014,"sachl","aschn","Book-binding Machines","Machines","8440","16","#17bcef",3962,116133.07,120095.07,12569,1131204179.11,1.085,0.001,167,"d3plus-1.9.8/icons/hs92/hs92_16.png","United States","Germany"
"1010",2014,"sachl","aschn","Other Paper Machinery","Machines","8441","16","#17bcef",NA,4845579.34,4845579.34,1224363.96,6029630922.85,1.433,NA,77,"d3plus-1.9.8/icons/hs92/hs92_16.png","United States","Germany"
"1011",2014,"sachl","aschn","Print Production Machinery","Machines","8442","16","#17bcef",NA,1621100.13,1621100.13,233692.24,2422967644.75,1.135,NA,158,"d3plus-1.9.8/icons/hs92/hs92_16.png","Belgium-Luxembourg","Germany"
"1012",2014,"sachl","aschn","Industrial Printers","Machines","8443","16","#17bcef",13594.02,91664146.65,91677740.67,5880705.04,67111291451.8,1.746,0,19,"d3plus-1.9.8/icons/hs92/hs92_16.png","United States","China"
"1013",2014,"sachl","aschn","Artificial Textile Machinery","Machines","8444","16","#17bcef",NA,214144.23,214144.23,33956,734191896.94,1.579,NA,40,"d3plus-1.9.8/icons/hs92/hs92_16.png","China","Germany"
"1014",2014,"sachl","aschn","Textile Fiber Machinery","Machines","8445","16","#17bcef",NA,370555.38,370555.38,971696.98,4204856098.75,1.526,NA,54,"d3plus-1.9.8/icons/hs92/hs92_16.png","China","Germany"
"1015",2014,"sachl","aschn","Looms","Machines","8446","16","#17bcef",NA,330298.77,330298.77,961836.56,2173704969.48,1.514,NA,56,"d3plus-1.9.8/icons/hs92/hs92_16.png","China","Belgium-Luxembourg"
"1016",2014,"sachl","aschn","Knitting Machines","Machines","8447","16","#17bcef",NA,2282959.21,2282959.21,124444.88,3133764691.37,0.954,NA,219,"d3plus-1.9.8/icons/hs92/hs92_16.png","China","China"
"1017",2014,"sachl","aschn","Knitting Machine Accessories","Machines","8448","16","#17bcef",NA,290720.3,290720.3,91607.96,5026045905.16,1.551,NA,45,"d3plus-1.9.8/icons/hs92/hs92_16.png","China","Germany"
"1018",2014,"sachl","aschn","Felt Machinery","Machines","8449","16","#17bcef",NA,3942,3942,NA,719305449.88,1.226,NA,128,"d3plus-1.9.8/icons/hs92/hs92_16.png","China","Germany"
"1019",2014,"sachl","aschn","Household Washing Machines","Machines","8450","16","#17bcef",2339,50505676.52,50508015.52,26581201.28,14503188268,0.546,0,405,"d3plus-1.9.8/icons/hs92/hs92_16.png","United States","China"
"1020",2014,"sachl","aschn","Textile Processing Machines","Machines","8451","16","#17bcef",NA,14963034.16,14963034.16,117108.47,7671024402.29,1.438,NA,75,"d3plus-1.9.8/icons/hs92/hs92_16.png","United States","Germany"
"1021",2014,"sachl","aschn","Sewing Machines","Machines","8452","16","#17bcef",NA,16111863.87,16111863.87,1675577.96,5289566583.54,0.271,NA,524,"d3plus-1.9.8/icons/hs92/hs92_16.png","United States","China"
"1022",2014,"sachl","aschn","Leather Machinery","Machines","8453","16","#17bcef",NA,194228.09,194228.09,100740.29,1051415359.07,-0.157,NA,728,"d3plus-1.9.8/icons/hs92/hs92_16.png","Vietnam","Italy"
"1023",2014,"sachl","aschn","Casting Machines","Machines","8454","16","#17bcef",NA,94354.72,94354.72,792938.96,3647712912.99,0.761,NA,314,"d3plus-1.9.8/icons/hs92/hs92_16.png","China","China"
"1024",2014,"sachl","aschn","Metal-Rolling Mills","Machines","8455","16","#17bcef",NA,1561931.34,1561931.34,761201.05,5715707475.79,0.783,NA,308,"d3plus-1.9.8/icons/hs92/hs92_16.png","China","China"
"1025",2014,"sachl","aschn","Non-Mechanical Removal Machinery","Machines","8456","16","#17bcef",NA,6912950.42,6912950.42,982919.43,12016817591.7,1.69,NA,23,"d3plus-1.9.8/icons/hs92/hs92_16.png","China","Japan"
"1026",2014,"sachl","aschn","Metalworking Transfer Machines","Machines","8457","16","#17bcef",NA,543192.41,543192.41,56071.28,13158176856.8,2.185,NA,6,"d3plus-1.9.8/icons/hs92/hs92_16.png","China","Japan"
"1027",2014,"sachl","aschn","Metal Lathes","Machines","8458","16","#17bcef",NA,4171744.36,4171744.36,902347.52,7887951570.91,1.512,NA,58,"d3plus-1.9.8/icons/hs92/hs92_16.png","United States","Japan"
"1028",2014,"sachl","aschn","Drilling Machines","Machines","8459","16","#17bcef",NA,2343451.14,2343451.14,217777.9,4296125717.77,0.693,NA,340,"d3plus-1.9.8/icons/hs92/hs92_16.png","China","Germany"
"1029",2014,"sachl","aschn","Metal Finishing Machines","Machines","8460","16","#17bcef",NA,1717400.46,1717400.46,611799,4926168166.59,1.675,NA,24,"d3plus-1.9.8/icons/hs92/hs92_16.png","China","Germany"
"1030",2014,"sachl","aschn","Metalworking Machines","Machines","8461","16","#17bcef",NA,1033399.74,1033399.74,173332.44,2473644157.61,1.302,NA,103,"d3plus-1.9.8/icons/hs92/hs92_16.png","China","Germany"
"1031",2014,"sachl","aschn","Forging Machines","Machines","8462","16","#17bcef",NA,16122093.94,16122093.94,3178378.02,10544833319.5,1.224,NA,129,"d3plus-1.9.8/icons/hs92/hs92_16.png","China","Germany"
"1032",2014,"sachl","aschn","Other Non-Metal Removal Machinery","Machines","8463","16","#17bcef",NA,518562.6,518562.6,2097774,2110966442.77,0.896,NA,252,"d3plus-1.9.8/icons/hs92/hs92_16.png","China","Germany"
"1033",2014,"sachl","aschn","Stone Working Machines","Machines","8464","16","#17bcef",NA,1235757.19,1235757.19,257989.35,3067260544.91,0.472,NA,436,"d3plus-1.9.8/icons/hs92/hs92_16.png","China","Italy"
"1034",2014,"sachl","aschn","Woodworking machines","Machines","8465","16","#17bcef",NA,4747417.7,4747417.7,2198067.74,6999634318.82,0.647,NA,363,"d3plus-1.9.8/icons/hs92/hs92_16.png","United States","Germany"
"1035",2014,"sachl","aschn","Metalworking Machine Parts","Machines","8466","16","#17bcef",NA,1645190.13,1645190.13,1510084.49,19343409989.6,1.549,NA,47,"d3plus-1.9.8/icons/hs92/hs92_16.png","United States","Germany"
"1036",2014,"sachl","aschn","Motor-working Tools","Machines","8467","16","#17bcef",86227,11569510.51,11655737.51,2447172.3,9276872558.86,1.318,0.002,99,"d3plus-1.9.8/icons/hs92/hs92_16.png","United States","China"
